FLT_ARL_IATA,FLT_ROUTE,FLT_DATE,FLT_AIRCRAFT
NH,Istanbul to Dublin,August 2022,NONE
NH,Seattle to Manchester via Dublin,August 2022,NONE
NH,Belfast to London,July 2022,NONE
NH,Dublin to Seattle,August 2022,NONE
NH,Chicago O'Hare to Amsterdam via Dublin,August 2022,A330/A320
NH,Boston to Edinburgh via Dublin,August 2022,NONE
NH,Los Angeles to Rome via Dublin,August 2022,NONE
NH,Cork to London,August 2022,A320
WN,Cascais to Bragança,April 2019,Dornier
WN,Bragança to Cascais,April 2019,Dornier
WN,Funchal to Porto Santo,July 2017,BAe Jetstream
KB,Thessaloniki to Havana via Moscow,January 2023,NONE
KB,Osaka to Dublin via Moscow,July 2022,NONE
KB,London to Moscow,January 2022,A350-900
KB,Vladivostok to Grozny ,August 2021,Sukhoi Superjet 100
KB,Larnaca to Moscow,September 2021,Boeing 777-300ER
KB,Vienna to Moscow,October 2020,A320
KB,Moscow to Larnaca,September 2021,Boeing 777-300ER
KB,Miami to Moscow,August 2021,A350
KB,Petropavlovsk-Kamchatsky to Moscow ,August 2021,NONE
KB,Moscow to London,July 2021,NONE
KB,Manchester to Tokyo via Moscow,July 2020,NONE
KB,Delhi to Copenhagen via Moscow,April 2020,NONE
KB,Riga to Dubai via Moscow,March 2020,NONE
KB,Los Angeles to Antalya via Mosco,December 2020,NONE
KB,Brussels to Bangkok via Moscow,April 2020,NONE
KB,Rome to Tokyo via Moscow,April 2020,NONE
KB,London to Moscow,October 2020,A350-900
KB,Hamburg to St. Petersburg,April 2020,NONE
KB,London to Moscow,August 2020,Boeing 777-300ER
KB,Moscow to London,August 2020,NONE
KB,Madrid to Bangkok via Moscow,April 2020,NONE
KB,Hanoi to Dublin via Moscow,April 2020,NONE
KB,Vilnius to Tokyo via Moscow,January 2020,NONE
KB,Moscow to Bangkok,April 2020,NONE
KB,Moscow to Hanoi,September 2019,Boeing 777-300ER
KB,Moscow to St Petersburgh,March 2020,A350-900
KB,New York to Tel Aviv via Moscow,April 2019,NONE
KB,Hong Kong to Moscow,November 2019,Boeing 777
KB,Athens to Moscow,March 2020,A320
KB,Lyon to Moscow via Delhi,February 2020,NONE
KB,Bucharest to Moscow,December 2019,Sukhoi Superjet - SSJ100
KB,Ljubljana to Moscow ,March 2020,A320
KB,London to Dubai via Moscow,February 2020,NONE
KB,Phuket to Oslo via Moscow,January 2020,NONE
KB,New York to Delhi via Moscow,November 2019,Boeing 777  / A330
KB,Amsterdam to Hanoi via Moscow,February 2020,NONE
KB,Athens to Moscow,January 2020,NONE
KB,Irkutsk to Moscow svo,January 2020,Boeing 737 800
KB,Tel Aviv to Moscow,January 2020,NONE
KB,London to Hong Kong via Moscow,January 2020,NONE
KB,Moscow to Helsinki,January 2020,NONE
KB,Ho Chi Minh to Amsterdam via Moscow,January 2020,NONE
